project_id,project_name,official_project_url,attempted_urls_json,evidence_summary,likely_reason,next_retry_strategy,screenshot_paths_json,last_verified_date
tijan_maadi,Tijan Maadi,https://wadidegladevelopments.com/projects/tijan-maadi/,[],No brochure PDFs found via KB scan or DOM crawl. Page found: True.,no_pdf_links_visible,manual_site_search,"[""raw/screens/index/tijan_maadi_card.png"", ""raw/screens/index/projects_index.png""]",2026-02-25
blumar_el_dome,Blumar El Dome,https://wadidegladevelopments.com/projects/blumar-el-dome/,[],No brochure PDFs found via KB scan or DOM crawl. Page found: True.,no_pdf_links_visible,manual_site_search,"[""raw/screens/index/blumar_el_dome_card.png"", ""raw/screens/index/projects_index.png""]",2026-02-25
pyramids_walk,Pyramids Walk,https://wadidegladevelopments.com/projects/pyramids-walk/,[],No brochure PDFs found via KB scan or DOM crawl. Page found: True.,no_pdf_links_visible,manual_site_search,"[""raw/screens/pyramids_walk_project_1771728438187.png"", ""raw/screens/index/projects_index.png""]",2026-02-25
blumar_sidi_abd_el_rahman,Blumar Sidi Abd El Rahman,https://wadidegladevelopments.com/projects/blumar-sidi-abdel-rahman-2/,[],No brochure PDFs found via KB scan or DOM crawl. Page found: True.,no_pdf_links_visible,manual_site_search,"[""raw/screens/blumar_sidi_abdel_rahman_1771728548479.png"", ""raw/screens/index/projects_index.png""]",2026-02-25
tijan_zahraa_el_maadi,Tijan Zahraa El Maadi,https://wadidegladevelopments.com/projects/tijan-zahraa-maadi/,[],No brochure PDFs found via KB scan or DOM crawl. Page found: True.,no_pdf_links_visible,manual_site_search,"[""raw/screens/tijan_zahraa_maadi_1771728598658.png"", ""raw/screens/index/projects_index.png""]",2026-02-25
canal_residence,Canal Residence,https://wadidegladevelopments.com/projects/canal_residence/,[],No brochure PDFs found via KB scan or DOM crawl. Page found: True.,no_pdf_links_visible,manual_site_search,"[""raw/screens/canal_residence_1771728668330.png"", ""raw/screens/index/projects_index.png""]",2026-02-25
river_walk,River Walk,https://wadidegladevelopments.com/projects/river-walk/,[],No brochure PDFs found via KB scan or DOM crawl. Page found: True.,no_pdf_links_visible,manual_site_search,"[""raw/screens/river_walk_1771728741501.png"", ""raw/screens/index/projects_index.png""]",2026-02-25
marina_wadi_degla,Marina Wadi Degla,https://wadidegladevelopments.com/projects/blumar-marina-wadi-degla/,[],No brochure PDFs found via KB scan or DOM crawl. Page found: True.,no_pdf_links_visible,manual_site_search,"[""raw/screens/marina_wadi_degla_project_1771728818699.png"", ""raw/screens/index/projects_index.png""]",2026-02-25
mada,Mada,,[],No brochure PDFs found via KB scan or DOM crawl. Page found: False.,no_project_page,check_wayback_or_contact_dev,"[""raw/screens/index/projects_full_page_1771723527631.png""]",2026-02-25
camuse,CAMUSE,,[],No brochure PDFs found via KB scan or DOM crawl. Page found: False.,no_project_page,check_wayback_or_contact_dev,"[""raw/screens/index/projects_full_page_1771723527631.png""]",2026-02-25
