project_id,project_name,field_name,field_value,source_url,evidence_type,evidence_snippet,screenshot_path,asset_path_or_ref,captured_date,notes
murano,Murano,official_project_url,https://wadidegladevelopments.com/project-phases/murano/,https://wadidegladevelopments.com/project-phases/murano/,dom,Official URL from KB: https://wadidegladevelopments.com/project-phases/murano/,,,2026-02-25,
murano,Murano,brochure_link_candidate,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,https://wadidegladevelopments.com/project-phases/murano/,dom,PDF link from KB/official page: https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,,,2026-02-25,
murano,Murano,pdf_download_confirmed,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,pdf,"PDF downloaded: 10042195 bytes, SHA256=6826d5347e2eb3f4",,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__phase_brochure__61f82a41.pdf,2026-02-25,
murano,Murano,brochure_link_candidate,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/project-phases/murano/,dom,PDF link from KB/official page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,,2026-02-25,
murano,Murano,pdf_download_confirmed,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,pdf,"PDF downloaded: 28963808 bytes, SHA256=48944a0807f98a08",,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf,2026-02-25,
clubtown,ClubTown,official_project_url,https://wadidegladevelopments.com/project-phases/clubtown/,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Official URL from KB: https://wadidegladevelopments.com/project-phases/clubtown/,,,2026-02-25,
clubtown,ClubTown,brochure_link_candidate,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/project-phases/clubtown/,dom,PDF link from KB/official page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,,2026-02-25,
clubtown,ClubTown,pdf_download_confirmed,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,pdf,"PDF downloaded: 28963808 bytes, SHA256=48944a0807f98a08",,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/clubtown/clubtown__unknown_pdf__c479efe0.pdf,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf
neo,Neo,official_project_url,https://wadidegladevelopments.com/project-phases/neo/,https://wadidegladevelopments.com/project-phases/neo/,dom,Official URL from KB: https://wadidegladevelopments.com/project-phases/neo/,,,2026-02-25,
neo,Neo,brochure_link_candidate,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf,https://wadidegladevelopments.com/project-phases/neo/,dom,PDF link from KB/official page: https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf,,,2026-02-25,
neo,Neo,pdf_download_confirmed,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf,pdf,"PDF downloaded: 8307741 bytes, SHA256=2938e53e7b0f822f",,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/neo/neo__project_brochure__5926f3b9.pdf,2026-02-25,
vero,Vero,official_project_url,https://wadidegladevelopments.com/projects/vero/,https://wadidegladevelopments.com/projects/vero/,dom,Official URL from KB: https://wadidegladevelopments.com/projects/vero/,,,2026-02-25,
vero,Vero,brochure_link_candidate,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/projects/vero/,dom,PDF link from KB/official page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,,2026-02-25,
vero,Vero,pdf_download_confirmed,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,pdf,"PDF downloaded: 28963808 bytes, SHA256=48944a0807f98a08",,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/vero/vero__unknown_pdf__c479efe0.pdf,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf
promenade_new_cairo,Promenade New Cairo,official_project_url,https://wadidegladevelopments.com/projects/promnade-new-cairo/,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,Official URL from KB: https://wadidegladevelopments.com/projects/promnade-new-cairo/,,,2026-02-25,
promenade_new_cairo,Promenade New Cairo,brochure_link_candidate,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/projects/promnade-new-cairo/,dom,PDF link from KB/official page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,,2026-02-25,
