project_id,project_name,doc_id,doc_type,doc_title_guess,source_url,referrer_url,download_url_final,http_status,content_type,file_path,file_name,file_size_bytes,sha256,page_count,pdf_text_extractable,discovered_via,captured_date,last_verified_date,notes
murano,Murano,murano__61f82a41,phase_brochure,Waterside Brochure,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,https://wadidegladevelopments.com/project-phases/murano/,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__phase_brochure__61f82a41.pdf,murano__phase_brochure__61f82a41.pdf,10042195,6826d5347e2eb3f42ff1e6e5ba5b2c10e9f151572f1a7f92d11e01175cfc13ce,65,true,dom_link,2026-02-25,2026-02-25,
murano,Murano,murano__c479efe0,unknown_pdf,WDD Magazine 25 Digital,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/project-phases/murano/,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf,murano__unknown_pdf__c479efe0.pdf,28963808,48944a0807f98a08329b36de54001e59e8e54d5995918912823658517a7f58a8,49,true,dom_link,2026-02-25,2026-02-25,
clubtown,ClubTown,clubtown__c479efe0,unknown_pdf,WDD Magazine 25 Digital,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/project-phases/clubtown/,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/clubtown/clubtown__unknown_pdf__c479efe0.pdf,clubtown__unknown_pdf__c479efe0.pdf,28963808,48944a0807f98a08329b36de54001e59e8e54d5995918912823658517a7f58a8,49,true,dom_link,2026-02-25,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf
neo,Neo,neo__5926f3b9,project_brochure,Wadi Degla Development Neopolis Neo Gardens,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf,https://wadidegladevelopments.com/project-phases/neo/,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Wadi-Degla-Development-Neopolis-Neo-Gardens.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/neo/neo__project_brochure__5926f3b9.pdf,neo__project_brochure__5926f3b9.pdf,8307741,2938e53e7b0f822f1d798fd5186ba362f582a6c010fac968c6f783000bc3117c,11,true,dom_link,2026-02-25,2026-02-25,
vero,Vero,vero__c479efe0,unknown_pdf,WDD Magazine 25 Digital,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/projects/vero/,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/vero/vero__unknown_pdf__c479efe0.pdf,vero__unknown_pdf__c479efe0.pdf,28963808,48944a0807f98a08329b36de54001e59e8e54d5995918912823658517a7f58a8,49,true,dom_link,2026-02-25,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf
promenade_new_cairo,Promenade New Cairo,promenade_new_cairo__c479efe0,unknown_pdf,WDD Magazine 25 Digital,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/projects/promnade-new-cairo/,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/promenade_new_cairo/promenade_new_cairo__unknown_pdf__c479efe0.pdf,promenade_new_cairo__unknown_pdf__c479efe0.pdf,28963808,48944a0807f98a08329b36de54001e59e8e54d5995918912823658517a7f58a8,49,true,dom_link,2026-02-25,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf
blumar_el_sokhna,Blumar El Sokhna,blumar_el_sokhna__c479efe0,unknown_pdf,WDD Magazine 25 Digital,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/projects/blumarelsokhna/,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/blumar_el_sokhna/blumar_el_sokhna__unknown_pdf__c479efe0.pdf,blumar_el_sokhna__unknown_pdf__c479efe0.pdf,28963808,48944a0807f98a08329b36de54001e59e8e54d5995918912823658517a7f58a8,49,true,dom_link,2026-02-25,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf
blumar_hills,Blumar Hills,blumar_hills__c479efe0,unknown_pdf,WDD Magazine 25 Digital,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,https://wadidegladevelopments.com/projects/blumar-hills/,https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/blumar_hills/blumar_hills__unknown_pdf__c479efe0.pdf,blumar_hills__unknown_pdf__c479efe0.pdf,28963808,48944a0807f98a08329b36de54001e59e8e54d5995918912823658517a7f58a8,49,true,dom_link,2026-02-25,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf
living_community,Living Community,living_community__61f82a41,phase_brochure,Waterside Brochure,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,https://wadidegladevelopments.com/projects/murano/,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/living_community/living_community__phase_brochure__61f82a41.pdf,living_community__phase_brochure__61f82a41.pdf,10042195,6826d5347e2eb3f42ff1e6e5ba5b2c10e9f151572f1a7f92d11e01175cfc13ce,65,true,dom_link,2026-02-25,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__phase_brochure__61f82a41.pdf
waterside,Waterside,waterside__61f82a41,phase_brochure,Waterside Brochure,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,https://wadidegladevelopments.com/projects/water-side/,https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,200,application/pdf,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/waterside/waterside__phase_brochure__61f82a41.pdf,waterside__phase_brochure__61f82a41.pdf,10042195,6826d5347e2eb3f42ff1e6e5ba5b2c10e9f151572f1a7f92d11e01175cfc13ce,65,true,dom_link,2026-02-25,2026-02-25,Duplicate of /Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__phase_brochure__61f82a41.pdf
