project_id,project_name,doc_id,file_path,page_count,pdf_text_extractable,keyword_hits_json,likely_spec_pages_json,likely_pricing_pages_json,likely_payment_plan_pages_json,probe_status,notes
murano,Murano,murano__61f82a41,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__phase_brochure__61f82a41.pdf,65,true,"{""sqm_bua"": [""m2"", ""m\u00b2""]}",[],[],[],completed,
murano,Murano,murano__c479efe0,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/murano/murano__unknown_pdf__c479efe0.pdf,49,true,"{""bedrooms"": [""br "", "" br"", ""1br"", ""3br""], ""sqm_bua"": [""sqm"", ""m2"", ""m\u00b2""]}",[],[],[],completed,
clubtown,ClubTown,clubtown__c479efe0,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/clubtown/clubtown__unknown_pdf__c479efe0.pdf,49,true,"{""bedrooms"": [""br "", "" br"", ""1br"", ""3br""], ""sqm_bua"": [""sqm"", ""m2"", ""m\u00b2""]}",[],[],[],completed,
neo,Neo,neo__5926f3b9,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/neo/neo__project_brochure__5926f3b9.pdf,11,true,"{""bedrooms"": [""br ""], ""sqm_bua"": [""m2"", ""m\u00b2""]}",[],[],[],completed,
vero,Vero,vero__c479efe0,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/vero/vero__unknown_pdf__c479efe0.pdf,49,true,"{""bedrooms"": [""br "", "" br"", ""1br"", ""3br""], ""sqm_bua"": [""sqm"", ""m2"", ""m\u00b2""]}",[],[],[],completed,
promenade_new_cairo,Promenade New Cairo,promenade_new_cairo__c479efe0,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/promenade_new_cairo/promenade_new_cairo__unknown_pdf__c479efe0.pdf,49,true,"{""bedrooms"": [""br "", "" br"", ""1br"", ""3br""], ""sqm_bua"": [""sqm"", ""m2"", ""m\u00b2""]}",[],[],[],completed,
blumar_el_sokhna,Blumar El Sokhna,blumar_el_sokhna__c479efe0,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/blumar_el_sokhna/blumar_el_sokhna__unknown_pdf__c479efe0.pdf,49,true,"{""bedrooms"": [""br "", "" br"", ""1br"", ""3br""], ""sqm_bua"": [""sqm"", ""m2"", ""m\u00b2""]}",[],[],[],completed,
blumar_hills,Blumar Hills,blumar_hills__c479efe0,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/blumar_hills/blumar_hills__unknown_pdf__c479efe0.pdf,49,true,"{""bedrooms"": [""br "", "" br"", ""1br"", ""3br""], ""sqm_bua"": [""sqm"", ""m2"", ""m\u00b2""]}",[],[],[],completed,
living_community,Living Community,living_community__61f82a41,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/living_community/living_community__phase_brochure__61f82a41.pdf,65,true,"{""sqm_bua"": [""m2"", ""m\u00b2""]}",[],[],[],completed,
waterside,Waterside,waterside__61f82a41,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/waterside/waterside__phase_brochure__61f82a41.pdf,65,true,"{""sqm_bua"": [""m2"", ""m\u00b2""]}",[],[],[],completed,
floating_islands,Floating Islands,floating_islands__75d002bc,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/floating_islands/floating_islands__phase_brochure__75d002bc.pdf,28,true,"{""sqm_bua"": [""m\u00b2""]}",[],[],[],completed,
ojo,Ojo,ojo__fcd04cec,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/ojo/ojo__phase_brochure__fcd04cec.pdf,3,true,"{""bedrooms"": ["" br"", ""1br"", ""2br"", ""3br"", ""4br""], ""sqm_bua"": [""sqm"", ""m2"", ""m\u00b2""]}",[],[],[],completed,
neo_lakes,Neo Lakes,neo_lakes__1bfb1a62,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/neo_lakes/neo_lakes__project_brochure__1bfb1a62.pdf,11,false,{},[],[],[],completed,Image-based PDF; OCR required for extraction.
neo_gardens,Neo Gardens,neo_gardens__5926f3b9,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/neo_gardens/neo_gardens__project_brochure__5926f3b9.pdf,11,true,"{""bedrooms"": [""br ""], ""sqm_bua"": [""m2"", ""m\u00b2""]}",[],[],[],completed,
breeze,Breeze,breeze__aeaa3281,/Volumes/ReserveDisk/codeBase/PulseX-WDD/KB-Acq/projectBrochures/breeze/breeze__phase_brochure__aeaa3281.pdf,17,true,"{""bedrooms"": ["" br""], ""sqm_bua"": [""m2"", ""m\u00b2""]}",[],[],[],completed,
