project_id,field_name,field_value,source_url,evidence_type,evidence_snippet,asset_path_or_pdf_page,captured_date,parser_confidence,overwrite_flag,notes
murano,official_project_url,https://wadidegladevelopments.com/project-phases/murano/,https://wadidegladevelopments.com/project-phases/murano/,dom,Crawled https://wadidegladevelopments.com/project-phases/murano/; card or page URL captured,,2026-02-22,,,
murano,region,Ain Sokhna,https://wadidegladevelopments.com/project-phases/murano/,dom,Location text extracted from page: Ain Sokhna | Ain Sokhna Road,,2026-02-22,,,
murano,city_area,Ain Sokhna Road,https://wadidegladevelopments.com/project-phases/murano/,dom,Location text: Ain Sokhna Road,,2026-02-22,,,
murano,micro_location,"750 meters of beach, 50 minutes from Cairo",https://wadidegladevelopments.com/project-phases/murano/,dom,"Micro-location from page: 750 meters of beach, 50 minutes from Cairo",,2026-02-22,,,
murano,project_type,resort,https://wadidegladevelopments.com/project-phases/murano/,dom,Project type determined from page content: resort,,2026-02-22,,,
murano,current_sales_status,selling,https://wadidegladevelopments.com/project-phases/murano/,dom,Sales status: selling; index card checked,,2026-02-22,,,
murano,unit_types_offered_json,"[""Villas"", ""Attached Villas"", ""Duplexes"", ""Chalets""]",https://wadidegladevelopments.com/project-phases/murano/,dom,"Unit types from DOM: Villas, Attached Villas, Duplexes, Chalets",,2026-02-22,,,
murano,key_amenities_json,"[""Swimming Pools"", ""Entertainment Area"", ""Supermarket"", ""Green Areas""]",https://wadidegladevelopments.com/project-phases/murano/,dom,"Amenities from DOM: Swimming Pools, Entertainment Area, Supermarket, Green Areas",,2026-02-22,,,
murano,beach_access_flag,true,https://wadidegladevelopments.com/project-phases/murano/,dom,beach_access_flag=true from amenities/DOM,,2026-02-22,,,
murano,lagoons_flag,true,https://wadidegladevelopments.com/project-phases/murano/,dom,lagoons_flag=true from amenities/DOM,,2026-02-22,,,
murano,pools_flag,true,https://wadidegladevelopments.com/project-phases/murano/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
murano,golf_flag,false,https://wadidegladevelopments.com/project-phases/murano/,dom,golf_flag=false from amenities/DOM,,2026-02-22,,,
murano,brochure_urls_json,"[""https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf"", ""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",https://wadidegladevelopments.com/project-phases/murano/,dom,PDF links found on page: https://wadidegladevelopments.com/wp-content/uploads/2023/09/Waterside-Brochure.pdf,,2026-02-22,,,
murano,confidence_score,0.60,https://wadidegladevelopments.com/project-phases/murano/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
murano,price_status,on_request,https://wadidegladevelopments.com/project-phases/murano/,dom,No numeric pricing found on page; on_request or null applied,,2026-02-22,,,
clubtown,official_project_url,https://wadidegladevelopments.com/project-phases/clubtown/,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Crawled https://wadidegladevelopments.com/project-phases/clubtown/; card or page URL captured,,2026-02-22,,,
clubtown,region,Cairo,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Location text extracted from page: Cairo | Maadi,,2026-02-22,,,
clubtown,city_area,Maadi,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Location text: Maadi,,2026-02-22,,,
clubtown,micro_location,New Degla,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Micro-location from page: New Degla,,2026-02-22,,,
clubtown,project_type,residential,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Project type determined from page content: residential,,2026-02-22,,,
clubtown,project_status,under_construction,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Status from page/index: under_construction,,2026-02-22,,,
clubtown,current_sales_status,selling,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Sales status: selling; index card checked,,2026-02-22,,,
clubtown,unit_types_offered_json,"[""Apartments"", ""Duplexes""]",https://wadidegladevelopments.com/project-phases/clubtown/,dom,"Unit types from DOM: Apartments, Duplexes",,2026-02-22,,,
clubtown,key_amenities_json,"[""Retail"", ""Admin"", ""Sports Courts"", ""Outdoor Fitness Area""]",https://wadidegladevelopments.com/project-phases/clubtown/,dom,"Amenities from DOM: Retail, Admin, Sports Courts, Outdoor Fitness Area",,2026-02-22,,,
clubtown,beach_access_flag,false,https://wadidegladevelopments.com/project-phases/clubtown/,dom,beach_access_flag=false from amenities/DOM,,2026-02-22,,,
clubtown,lagoons_flag,false,https://wadidegladevelopments.com/project-phases/clubtown/,dom,lagoons_flag=false from amenities/DOM,,2026-02-22,,,
clubtown,clubhouse_flag,true,https://wadidegladevelopments.com/project-phases/clubtown/,dom,clubhouse_flag=true from amenities/DOM,,2026-02-22,,,
clubtown,pools_flag,true,https://wadidegladevelopments.com/project-phases/clubtown/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
clubtown,gym_flag,true,https://wadidegladevelopments.com/project-phases/clubtown/,dom,gym_flag=true from amenities/DOM,,2026-02-22,,,
clubtown,golf_flag,false,https://wadidegladevelopments.com/project-phases/clubtown/,dom,golf_flag=false from amenities/DOM,,2026-02-22,,,
clubtown,brochure_urls_json,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",https://wadidegladevelopments.com/project-phases/clubtown/,dom,PDF links found on page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,2026-02-22,,,
clubtown,delivery_year_min,2022,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Delivery year from page text or metadata,,2026-02-22,,,
clubtown,confidence_score,0.60,https://wadidegladevelopments.com/project-phases/clubtown/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
clubtown,price_status,on_request,https://wadidegladevelopments.com/project-phases/clubtown/,dom,No numeric pricing found on page; on_request or null applied,,2026-02-22,,,
